50005,Elite
50016,Elite
50230,Credit
50336,Elite
50403,Supp
50486,Supp
50606,Elite
50630,Supp
50640,Elite
50902,Credit
50916,Supp
51097,Credit
51173,Credit
51194,Supp
51247,Elite
51472,Credit
51538,Supp
51640,Supp
51754,Elite
51830,Elite
51841,Supp
52054,Elite
52152,Supp
52189,Supp
52216,Supp
52303,Credit
52505,Elite
52524,Elite
52560,Supp
52569,Credit
52672,Elite
52696,Supp
52727,Supp
52735,Credit
52747,Credit
52932,Elite
52964,Elite
53054,Credit
53071,Supp
53108,Credit
53117,Credit
53237,Elite
53371,Supp
53402,Supp
53412,Credit
53420,Credit
53450,Supp
53549,Supp
53808,Supp
53949,Credit
54133,Elite
54306,Credit
54343,Credit
54365,Supp
54444,Supp
54457,Supp
54525,Supp
54529,Elite
54561,Supp
54700,Supp
54712,Supp
54777,Supp
54915,Supp
54976,Supp
55093,Supp
55277,Supp
55349,Elite
55403,Elite
55444,Credit
55535,Supp
55551,Supp
55564,Credit
55745,Credit
55809,Supp
55919,Elite
56078,Credit
56081,Supp
56131,Credit
56207,Supp
56377,Credit
56404,Elite
56431,Credit
56440,Credit
56500,Elite
56715,Elite
56898,Elite
56907,Credit
56964,Supp
57003,Elite
57016,Elite
57271,Supp
57339,Supp
57762,Elite
57832,Elite
57886,Supp
57955,Supp
58038,Supp
58050,Elite
58150,Supp
58152,Supp
58226,Elite
58251,Elite
58318,Supp
58387,Elite
58549,Credit
58682,Elite
58811,Elite
58858,Elite
58910,Supp
58931,Elite
58985,Elite
59146,Elite
59260,Supp
59322,Credit
59342,Elite
59414,Supp
59545,Elite
59633,Supp
59689,Elite
59824,Supp
59870,Supp
