50005,Elite
50016,Elite
50127,Supp
50230,Credit
50336,Elite
50486,Supp
50541,Supp
50585,Credit
50640,Credit
50721,Elite
50818,Supp
50867,Supp
50902,Credit
50994,Supp
51097,Credit
51173,Credit
51247,Elite
51255,Supp
51472,Credit
51511,Credit
51538,Supp
51754,Elite
51841,Supp
51921,Supp
52054,Elite
52189,Supp
52460,Supp
52486,Credit
52505,Elite
52524,Elite
52560,Supp
52569,Credit
52672,Elite
52696,Supp
52790,Credit
52853,Elite
52964,Elite
53027,Supp
53054,Credit
53071,Supp
53117,Credit
53237,Elite
53420,Credit
53450,Supp
53549,Supp
53585,Supp
53617,Supp
53949,Credit
54133,Elite
54306,Credit
54343,Credit
54457,Supp
54525,Supp
54529,Elite
54561,Supp
54777,Supp
54976,Supp
55093,Supp
55403,Elite
55450,Supp
55535,Supp
55551,Supp
55564,Credit
55653,Supp
55745,Credit
55809,Supp
55919,Elite
56068,Supp
56078,Credit
56394,Credit
56404,Elite
56500,Elite
56532,Supp
56715,Elite
56731,Supp
56849,Supp
56907,Credit
56964,Supp
57003,Elite
57016,Elite
57339,Supp
57832,Elite
57846,Supp
57886,Supp
58038,Supp
58058,Credit
58150,Supp
58152,Supp
58226,Elite
58251,Elite
58318,Supp
58387,Elite
58551,Supp
58682,Elite
58742,Credit
58811,Elite
58858,Elite
58910,Supp
58931,Elite
58947,Supp
58985,Elite
59146,Elite
59260,Supp
59322,Credit
59342,Elite
59414,Supp
59545,Elite
59618,Elite
59633,Supp
59676,Credit
59689,Elite
59824,Supp
